iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,179,0.0,0.0,1.0,0.0,0.0,0.0
2,385,0.0,0.0,1.0,0.0,0.0,0.0
3,719,0.0,0.0,1.0,0.0,0.0,0.0
4,1243,0.0,0.16666666666666669,0.8333333333333334,0.001,0.001,0.0
5,1966,0.0,0.32291666666666663,0.6770833333333333,0.00108,0.00108,0.0
6,2903,0.0,0.4976851851851852,0.5023148148148147,0.0020199999999999997,0.0020199999999999997,0.0
7,4145,0.0,0.5749421296296297,0.4250578703703703,0.0023799999999999997,0.0023799999999999997,0.0
8,5913,0.005883487654320988,0.6490644290123456,0.3450520833333332,0.00292,0.00292,0.0
9,8377,0.027606310013717418,0.7044083290466391,0.26798536093964404,0.0036799999999999992,0.0036199999999999995,5.9999999999999995e-05
10,11798,0.03626721822130772,0.7392158386202559,0.22451694315843687,0.00484,0.004399999999999999,0.00043999999999999996
11,16842,0.048789574521795456,0.7616979863254456,0.18951243915275923,0.006679999999999999,0.00582,0.0008599999999999999
12,24125,0.057209604258751205,0.784666368681889,0.15812402705935938,0.00842,0.006819999999999999,0.0015999999999999999
13,30000,0.06379961707848036,0.7967371109262803,0.139463271995237,0.010639999999999998,0.00848,0.00216
