iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,127,0.0,0.0,1.0,0.0,0.0,0.0
3,249,0.0,0.375,0.625,0.0,0.0,0.0
4,419,0.0,0.6875,0.3125,0.0,0.0,0.0
5,620,0.0,0.6875,0.3125,0.0,0.0,0.0
6,1016,0.02430555555555556,0.7291666666666666,0.24652777777777782,6e-05,6e-05,0.0
7,1668,0.03906250000000001,0.7494212962962963,0.2115162037037037,0.00042,0.00042,0.0
8,2774,0.052903163580246916,0.7664930555555556,0.1806037808641975,0.0006399999999999999,0.0006399999999999999,0.0
9,4679,0.05733989197530864,0.7738634902263375,0.1687966177983538,0.0007,0.00066,3.9999999999999996e-05
10,7000,0.0666795267489712,0.783886316872428,0.14943415637860086,0.00138,0.0013,7.999999999999999e-05
