iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,127,0.0,0.25,0.75,0.0,0.0,0.0
3,218,0.0,0.25,0.75,0.0,0.0,0.0
4,416,0.0,0.375,0.625,0.0,0.0,0.0
5,777,0.0,0.6944444444444444,0.3055555555555556,0.0,0.0,0.0
6,1186,0.00925925925925926,0.7204861111111112,0.27025462962962954,0.0,0.0,0.0
7,1924,0.02633101851851852,0.8020833333333334,0.17158564814814814,0.0,0.0,0.0
8,2994,0.04229359567901235,0.8202160493827161,0.1374903549382716,0.0,0.0,0.0
9,4807,0.0673144933127572,0.859562542866941,0.07312296382030177,0.0,0.0,0.0
10,7124,0.07462598593964334,0.8666623799725652,0.058711634087791516,0.0,0.0,0.0
iteration cumulative budget used: {'iter_1': 60, 'iter_2': 127, 'iter_3': 218, 'iter_4': 416, 'iter_5': 777, 'iter_6': 1186, 'iter_7': 1924, 'iter_8': 2994, 'iter_9': 4807, 'iter_10': 7124}
[INFO] Remaining volume proportions - Undefined: {'iter_1': 1.0, 'iter_2': 0.75, 'iter_3': 0.75, 'iter_4': 0.625, 'iter_5': 0.3055555555555556, 'iter_6': 0.27025462962962954, 'iter_7': 0.17158564814814814, 'iter_8': 0.1374903549382716, 'iter_9': 0.07312296382030177, 'iter_10': 0.058711634087791516}, Minus: {'iter_1': 0.0, 'iter_2': 0.0, 'iter_3': 0.0, 'iter_4': 0.0, 'iter_5': 0.0, 'iter_6': 0.00925925925925926, 'iter_7': 0.02633101851851852, 'iter_8': 0.04229359567901235, 'iter_9': 0.0673144933127572, 'iter_10': 0.07462598593964334}, Plus: {'iter_1': 0.0, 'iter_2': 0.25, 'iter_3': 0.25, 'iter_4': 0.375, 'iter_5': 0.6944444444444444, 'iter_6': 0.7204861111111112, 'iter_7': 0.8020833333333334, 'iter_8': 0.8202160493827161, 'iter_9': 0.859562542866941, 'iter_10': 0.8666623799725652}
