iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,179,0.0,0.0,1.0,0.0,0.0,0.0
2,385,0.0,0.0,1.0,0.0,0.0,0.0
3,636,0.0,0.375,0.625,0.0,0.0,0.0
4,951,0.0,0.4375,0.5625,2e-05,2e-05,0.0
5,1393,0.0,0.6076388888888888,0.39236111111111116,2e-05,2e-05,0.0
6,1999,0.0,0.6626157407407407,0.3373842592592593,2e-05,2e-05,0.0
7,2908,0.0,0.6860532407407407,0.3139467592592592,0.00026000000000000003,0.00026000000000000003,0.0
8,4348,0.0007716049382716057,0.712818287037037,0.2864101080246915,0.0006000000000000001,0.00026000000000000003,0.00034
9,6457,0.03309863683127571,0.7547662680041152,0.21213509516460916,0.00072,0.00038,0.00034
10,9350,0.036603009259259245,0.7821957518861453,0.18120123885459508,0.0010400000000000001,0.00048000000000000007,0.0005600000000000001
11,13738,0.047690588205875614,0.8005827671324873,0.15172664466163688,0.0029200000000000003,0.00102,0.0019000000000000002
12,19737,0.07228125357224506,0.8351653120911763,0.09255343433657873,0.00366,0.00134,0.00232
13,26845,0.07951203578675124,0.847825586407184,0.0726623778060651,0.00608,0.0026000000000000003,0.0034800000000000005
14,30000,0.08704927342354175,0.8611768965126331,0.05177383006382568,0.008140000000000001,0.0036400000000000004,0.0045000000000000005
