iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,156,0.0,0.0,1.0,0.0,0.0,0.0
2,331,0.0,0.0,1.0,0.0,0.0,0.0
3,647,0.0,0.375,0.625,0.0,0.0,0.0
4,1088,0.0,0.4375,0.5625,2e-05,2e-05,0.0
5,1957,0.0,0.59375,0.40625,2e-05,2e-05,0.0
6,3452,0.0,0.6730324074074074,0.32696759259259267,2e-05,2e-05,0.0
7,6041,0.0,0.6765046296296297,0.3234953703703702,4e-05,4e-05,0.0
8,11359,0.0,0.7211451903292181,0.278854809670782,4e-05,4e-05,0.0
9,21507,0.02977109053497942,0.7835808899176955,0.18664801954732527,4e-05,4e-05,0.0
10,30000,0.02996399176954732,0.7920578275034293,0.17797818072702315,4e-05,4e-05,0.0
