iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,179,0.0,0.0,1.0,0.0,0.0,0.0
2,385,0.0,0.0,1.0,0.0,0.0,0.0
3,719,0.0,0.0,1.0,0.0,0.0,0.0
4,1309,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
5,2245,0.0,0.0625,0.9375,0.0,0.0,0.0
6,3660,0.004629629629629629,0.15798611111111113,0.837384259259259,0.0,0.0,0.0
7,5541,0.004629629629629629,0.36892361111111116,0.6264467592592586,0.0,0.0,0.0
8,8007,0.01539994855967078,0.5475662294238683,0.4370338220164598,2e-05,0.0,2e-05
9,11095,0.03736925582990398,0.6427040466392319,0.3199266975308645,0.00016,2e-05,0.00014000000000000001
10,14971,0.046160550983081854,0.7222106124256973,0.23162883659122016,0.0007000000000000001,0.00018,0.0005200000000000001
11,20186,0.0625790359224966,0.7880608573626352,0.14936010671487007,0.0009400000000000001,0.00026000000000000003,0.00068
12,26702,0.07617199903628769,0.8195761213674235,0.10425187959629116,0.0016400000000000002,0.0005200000000000001,0.0011200000000000001
13,34682,0.08445203728444813,0.8533515642695844,0.06219639844596924,0.0036200000000000004,0.0014000000000000002,0.00222
14,44980,0.09318658721420275,0.8758041486147012,0.031009264171097145,0.004880000000000001,0.0020800000000000003,0.0028000000000000004
