iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,127,0.0,0.0,1.0,0.0,0.0,0.0
3,249,0.0,0.125,0.8749999999999999,0.0,0.0,0.0
4,475,0.0,0.22916666666666666,0.7708333333333335,0.0,0.0,0.0
5,903,0.0,0.4652777777777778,0.5347222222222223,0.00033999999999999997,0.00033999999999999997,0.0
6,1504,0.028935185185185185,0.5578703703703703,0.41319444444444464,0.0006399999999999999,0.0006399999999999999,0.0
7,2426,0.042631172839506175,0.6352237654320987,0.3221450617283948,0.00076,0.00074,1.9999999999999998e-05
8,3794,0.06015303497942387,0.6708622685185185,0.26898469650205736,0.0007999999999999999,0.00076,3.9999999999999996e-05
9,5930,0.06515239197530864,0.6980827760631001,0.2367648319615913,0.00108,0.0009199999999999999,0.00015999999999999999
10,8000,0.0703553669410151,0.7042524898548239,0.22539214320416126,0.0013000000000000002,0.00114,0.00015999999999999999
iteration cumulative budget used: {'iter_1': 60, 'iter_2': 127, 'iter_3': 249, 'iter_4': 475, 'iter_5': 903, 'iter_6': 1504, 'iter_7': 2426, 'iter_8': 3794, 'iter_9': 5930, 'iter_10': 8000}
[INFO] Remaining volume proportions - Undefined: {'iter_1': 1.0, 'iter_2': 1.0, 'iter_3': 0.8749999999999999, 'iter_4': 0.7708333333333335, 'iter_5': 0.5347222222222223, 'iter_6': 0.41319444444444464, 'iter_7': 0.3221450617283948, 'iter_8': 0.26898469650205736, 'iter_9': 0.2367648319615913, 'iter_10': 0.22539214320416126}, Minus: {'iter_1': 0.0, 'iter_2': 0.0, 'iter_3': 0.0, 'iter_4': 0.0, 'iter_5': 0.0, 'iter_6': 0.028935185185185185, 'iter_7': 0.042631172839506175, 'iter_8': 0.06015303497942387, 'iter_9': 0.06515239197530864, 'iter_10': 0.0703553669410151}, Plus: {'iter_1': 0.0, 'iter_2': 0.0, 'iter_3': 0.125, 'iter_4': 0.22916666666666666, 'iter_5': 0.4652777777777778, 'iter_6': 0.5578703703703703, 'iter_7': 0.6352237654320987, 'iter_8': 0.6708622685185185, 'iter_9': 0.6980827760631001, 'iter_10': 0.704252489854823
