iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,96,0.0,0.0,1.0,0.0,0.0,0.0
2,207,0.0,0.0,1.0,0.0,0.0,0.0
3,387,0.0,0.0,1.0,0.0,0.0,0.0
4,671,0.0,0.04166666666666668,0.9583333333333333,0.0,0.0,0.0
5,1102,0.01388888888888889,0.09375,0.8923611111111116,0.0,0.0,0.0
6,1667,0.02777777777777778,0.2523148148148148,0.7199074074074072,0.00024,0.00024,0.0
7,2318,0.04137731481481482,0.3573495370370371,0.6012731481481479,0.00044,0.00044,0.0
8,3162,0.05742026748971194,0.39900012860082307,0.5435796039094644,0.0008,0.00072,7.999999999999999e-05
9,4307,0.06144975994513032,0.4185662079903979,0.5199840320644714,0.0013,0.00116,0.00014
10,6016,0.06975165752171926,0.4252324638488798,0.5050158786294018,0.00192,0.00164,0.00028
