iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,140,0.0,0.0,1.0,0.0,0.0,0.0
3,300,0.0,0.125,0.875,0.0,0.0,0.0
4,600,0.0,0.2916666666666667,0.7083333333333333,0.0,0.0,0.0
5,1180,0.03125,0.4930555555555556,0.4756944444444444,6e-05,0.0,6e-05
6,2080,0.05439814814814815,0.6232638888888888,0.3223379629629629,6e-05,0.0,6e-05
7,3540,0.09442515432098766,0.685474537037037,0.22010030864197533,6e-05,0.0,6e-05
8,5720,0.11072530864197531,0.7481674382716049,0.14110725308641967,8e-05,2e-05,6e-05
9,8980,0.13055662722908093,0.7758916323731139,0.0935517403978052,0.0001,2e-05,8e-05
10,13760,0.14480006144261545,0.792061399748514,0.06313853880887056,0.0001,2e-05,8e-05
