iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,127,0.0,0.0,1.0,0.0,0.0,0.0
3,249,0.0,0.0,1.0,0.0,0.0,0.0
4,504,0.0,0.0,0.9999999999999999,0.0,0.0,0.0
5,1026,0.0,0.03125,0.9687500000000001,0.0,0.0,0.0
6,2036,0.02777777777777778,0.03125,0.9409722222222217,0.00028000000000000003,0.0,0.00028000000000000003
7,3954,0.02777777777777778,0.07378472222222222,0.8984374999999997,0.00028000000000000003,0.0,0.00028000000000000003
8,7617,0.0701195987654321,0.21796231995884774,0.7119180812757199,0.00028000000000000003,0.0,0.00028000000000000003
9,13979,0.09728652263374485,0.44196084104938266,0.4607526363168729,0.00032,0.0,0.00032
10,20000,0.11042791923868311,0.533006204989712,0.3565658757716072,0.00036,0.0,0.00036
