iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,120,0.0,0.0,1.0,0.0,0.0,0.0
2,255,0.0,0.0,1.0,0.0,0.0,0.0
3,498,0.0,0.0,1.0,0.0,0.0,0.0
4,1007,0.0,0.0,0.9999999999999999,0.0,0.0,0.0
5,1970,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
6,3861,0.006944444444444444,0.15104166666666669,0.8420138888888885,0.00012000000000000002,0.0,0.00012000000000000002
7,7353,0.008487654320987654,0.2865547839506173,0.704957561728395,0.00012000000000000002,0.0,0.00012000000000000002
8,13656,0.020576131687242795,0.5574363425925927,0.4219875257201645,0.00014000000000000001,0.0,0.00014000000000000001
9,24048,0.03798010973936901,0.6633793081275722,0.29864058213305855,0.00014000000000000001,0.0,0.00014000000000000001
10,41526,0.043377772062185654,0.7375860018004117,0.21903622613740287,0.00014000000000000001,0.0,0.00014000000000000001
