iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,120,0.0,0.0,1.0,0.0,0.0,0.0
2,255,0.0,0.0,1.0,0.0,0.0,0.0
3,498,0.0,0.375,0.625,0.00128,0.00128,0.0
4,837,0.0,0.4375,0.5625,0.00128,0.00128,0.0
5,1479,0.0,0.46875,0.53125,0.00128,0.00128,0.0
6,2782,0.0,0.5260416666666666,0.4739583333333333,0.00128,0.00128,0.0
7,5290,0.0,0.6458333333333334,0.3541666666666667,0.00128,0.00128,0.0
8,9952,0.007523148148148148,0.6848958333333334,0.30758101851851855,0.00132,0.00132,0.0
9,19120,0.016268004115226338,0.754281335733882,0.22945066015089163,0.00132,0.00132,0.0
10,20000,0.023284786522633744,0.7839010523834019,0.1928141610939643,0.00132,0.00132,0.0
